Job Title,Category,Demand Level,Expected Salary,Updated At,Skills,Description
Data Scientist 1,Tech,High,$70k-$90k,2025-08-08T22:10:16+05:00,Node.js; TensorFlow; Linux; Python; CSS; React; Cloud Computing; C++; Java; Docker,A Data Scientist 1 is responsible for various tasks in the Tech field.
AI Engineer 1,Tech,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Kubernetes; Linux; Cloud Computing; Machine Learning; Deep Learning; C++; PyTorch; JavaScript; SQL; HTML,A AI Engineer 1 is responsible for various tasks in the Tech field.
Web Developer 1,Tech,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Deep Learning; Cloud Computing; PyTorch; React; Linux; TensorFlow; Java; Data Analysis; C++; Machine Learning,A Web Developer 1 is responsible for various tasks in the Tech field.
UI Designer 1,Design,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Prototyping; Figma; Illustrator; Wireframing; UI/UX; Typography; Adobe Photoshop; Branding; InDesign; Sketch,A UI Designer 1 is responsible for various tasks in the Design field.
Cybersecurity Specialist 1,Tech,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Kubernetes; HTML; CSS; TensorFlow; React; Data Analysis; Java; PyTorch; SQL; JavaScript,A Cybersecurity Specialist 1 is responsible for various tasks in the Tech field.
Graphic Designer 1,Design,High,$110k-$150k,2025-08-08T22:10:16+05:00,Sketch; UI/UX; Typography; Wireframing; Adobe Photoshop; InDesign; Figma; Branding; Illustrator; Prototyping,A Graphic Designer 1 is responsible for various tasks in the Design field.
Digital Marketer 1,Marketing,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Google Analytics; SEO; Copywriting; Content Marketing; PPC; Email Marketing; Social Media; Market Research; Brand Strategy,A Digital Marketer 1 is responsible for various tasks in the Marketing field.
SEO Specialist 1,Marketing,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Email Marketing; SEO; PPC; Social Media; Google Analytics; Brand Strategy; Copywriting; Content Marketing; Market Research,A SEO Specialist 1 is responsible for various tasks in the Marketing field.
Nurse 1,Healthcare,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Phlebotomy; Pharmacology; Diagnostics; Medical Terminology; Patient Care; First Aid; Healthcare IT; Surgery Assistance,A Nurse 1 is responsible for various tasks in the Healthcare field.
Doctor 1,Healthcare,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Phlebotomy; Surgery Assistance; Medical Terminology; Diagnostics; First Aid; Patient Care; Pharmacology; Healthcare IT,A Doctor 1 is responsible for various tasks in the Healthcare field.
Teacher 1,Education,High,$50k-$70k,2025-08-08T22:10:16+05:00,Classroom Management; Assessment Design; Public Speaking; Educational Technology; Lesson Planning; Curriculum Development,A Teacher 1 is responsible for various tasks in the Education field.
Content Writer 1,Marketing,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Social Media; Brand Strategy; Market Research; SEO; Email Marketing; PPC; Content Marketing; Copywriting; Google Analytics,A Content Writer 1 is responsible for various tasks in the Marketing field.
Mobile App Developer 1,Tech,Medium,$70k-$90k,2025-08-08T22:10:16+05:00,HTML; React; Deep Learning; TensorFlow; Java; Python; SQL; Cloud Computing; Kubernetes; C++,A Mobile App Developer 1 is responsible for various tasks in the Tech field.
Cloud Engineer 1,Tech,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Machine Learning; CSS; Java; Cloud Computing; Data Analysis; Python; JavaScript; HTML; TensorFlow; Linux,A Cloud Engineer 1 is responsible for various tasks in the Tech field.
Game Developer 1,Tech,Low,$90k-$110k,2025-08-08T22:10:16+05:00,PyTorch; Java; JavaScript; CSS; C++; SQL; Deep Learning; Machine Learning; HTML; Node.js,A Game Developer 1 is responsible for various tasks in the Tech field.
Project Manager 1,Business,High,$50k-$70k,2025-08-08T22:10:16+05:00,Scrum; Leadership; Budgeting; Negotiation; Agile; Business Strategy; Project Management; Risk Management,A Project Manager 1 is responsible for various tasks in the Business field.
Business Analyst 1,Business,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Agile; Project Management; Risk Management; Leadership; Scrum; Business Strategy; Negotiation; Budgeting,A Business Analyst 1 is responsible for various tasks in the Business field.
Data Analyst 1,Tech,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Node.js; React; SQL; Data Analysis; Machine Learning; Python; JavaScript; Cloud Computing; Deep Learning; PyTorch,A Data Analyst 1 is responsible for various tasks in the Tech field.
Mechanical Engineer 1,Engineering,High,$70k-$90k,2025-08-08T22:10:16+05:00,Structural Analysis; CAD; Project Planning; Fluid Mechanics; Thermodynamics; Mathematics; 3D Modeling; Problem Solving,A Mechanical Engineer 1 is responsible for various tasks in the Engineering field.
Civil Engineer 1,Engineering,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Structural Analysis; 3D Modeling; Thermodynamics; Fluid Mechanics; Mathematics; CAD; Problem Solving; Project Planning,A Civil Engineer 1 is responsible for various tasks in the Engineering field.
Data Scientist 2,Tech,Low,$90k-$110k,2025-08-08T22:10:16+05:00,Node.js; PyTorch; C++; Docker; Kubernetes; Machine Learning; Linux; React; HTML; Python,A Data Scientist 2 is responsible for various tasks in the Tech field.
AI Engineer 2,Tech,Low,$90k-$110k,2025-08-08T22:10:16+05:00,C++; Java; Kubernetes; PyTorch; TensorFlow; Machine Learning; Cloud Computing; Linux; CSS; Deep Learning,A AI Engineer 2 is responsible for various tasks in the Tech field.
Web Developer 2,Tech,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Docker; Java; HTML; Linux; Machine Learning; Node.js; React; C++; Cloud Computing; Kubernetes,A Web Developer 2 is responsible for various tasks in the Tech field.
UI Designer 2,Design,Low,$90k-$110k,2025-08-08T22:10:16+05:00,Sketch; Typography; Branding; UI/UX; Illustrator; Adobe Photoshop; Wireframing; Prototyping; Figma; InDesign,A UI Designer 2 is responsible for various tasks in the Design field.
Cybersecurity Specialist 2,Tech,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Data Analysis; Java; Docker; Linux; Python; PyTorch; HTML; Deep Learning; Kubernetes; JavaScript,A Cybersecurity Specialist 2 is responsible for various tasks in the Tech field.
Graphic Designer 2,Design,High,$70k-$90k,2025-08-08T22:10:16+05:00,Adobe Photoshop; Figma; Wireframing; Illustrator; Typography; InDesign; Prototyping; UI/UX; Sketch; Branding,A Graphic Designer 2 is responsible for various tasks in the Design field.
Digital Marketer 2,Marketing,High,$110k-$150k,2025-08-08T22:10:16+05:00,Brand Strategy; Content Marketing; SEO; Social Media; Google Analytics; PPC; Copywriting; Email Marketing; Market Research,A Digital Marketer 2 is responsible for various tasks in the Marketing field.
SEO Specialist 2,Marketing,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Email Marketing; Google Analytics; Brand Strategy; SEO; PPC; Copywriting; Social Media; Content Marketing; Market Research,A SEO Specialist 2 is responsible for various tasks in the Marketing field.
Nurse 2,Healthcare,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Medical Terminology; Phlebotomy; Pharmacology; First Aid; Diagnostics; Surgery Assistance; Healthcare IT; Patient Care,A Nurse 2 is responsible for various tasks in the Healthcare field.
Doctor 2,Healthcare,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Healthcare IT; Phlebotomy; Surgery Assistance; First Aid; Pharmacology; Diagnostics; Patient Care; Medical Terminology,A Doctor 2 is responsible for various tasks in the Healthcare field.
Teacher 2,Education,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Lesson Planning; Assessment Design; Classroom Management; Public Speaking; Educational Technology; Curriculum Development,A Teacher 2 is responsible for various tasks in the Education field.
Content Writer 2,Marketing,High,$70k-$90k,2025-08-08T22:10:16+05:00,SEO; Google Analytics; PPC; Market Research; Email Marketing; Content Marketing; Brand Strategy; Social Media; Copywriting,A Content Writer 2 is responsible for various tasks in the Marketing field.
Mobile App Developer 2,Tech,High,$110k-$150k,2025-08-08T22:10:16+05:00,Java; JavaScript; SQL; Deep Learning; C++; Python; Docker; CSS; React; Linux,A Mobile App Developer 2 is responsible for various tasks in the Tech field.
Cloud Engineer 2,Tech,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,CSS; JavaScript; Cloud Computing; Kubernetes; SQL; Machine Learning; PyTorch; Linux; TensorFlow; C++,A Cloud Engineer 2 is responsible for various tasks in the Tech field.
Game Developer 2,Tech,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,CSS; HTML; Data Analysis; Deep Learning; PyTorch; React; C++; Node.js; SQL; TensorFlow,A Game Developer 2 is responsible for various tasks in the Tech field.
Project Manager 2,Business,Low,$90k-$110k,2025-08-08T22:10:16+05:00,Project Management; Leadership; Business Strategy; Negotiation; Budgeting; Scrum; Agile; Risk Management,A Project Manager 2 is responsible for various tasks in the Business field.
Business Analyst 2,Business,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Agile; Scrum; Business Strategy; Budgeting; Leadership; Negotiation; Risk Management; Project Management,A Business Analyst 2 is responsible for various tasks in the Business field.
Data Analyst 2,Tech,High,$50k-$70k,2025-08-08T22:10:16+05:00,Java; Data Analysis; SQL; CSS; React; JavaScript; Docker; Linux; Deep Learning; Kubernetes,A Data Analyst 2 is responsible for various tasks in the Tech field.
Mechanical Engineer 2,Engineering,Low,$70k-$90k,2025-08-08T22:10:16+05:00,3D Modeling; Thermodynamics; Project Planning; Fluid Mechanics; CAD; Structural Analysis; Problem Solving; Mathematics,A Mechanical Engineer 2 is responsible for various tasks in the Engineering field.
Civil Engineer 2,Engineering,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,3D Modeling; CAD; Mathematics; Problem Solving; Project Planning; Structural Analysis; Thermodynamics; Fluid Mechanics,A Civil Engineer 2 is responsible for various tasks in the Engineering field.
Data Scientist 3,Tech,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,TensorFlow; Deep Learning; Python; C++; Data Analysis; Linux; HTML; Node.js; Docker; Java,A Data Scientist 3 is responsible for various tasks in the Tech field.
AI Engineer 3,Tech,High,$110k-$150k,2025-08-08T22:10:16+05:00,React; Machine Learning; C++; PyTorch; Kubernetes; Java; TensorFlow; Node.js; Linux; Deep Learning,A AI Engineer 3 is responsible for various tasks in the Tech field.
Web Developer 3,Tech,High,$50k-$70k,2025-08-08T22:10:16+05:00,Docker; Linux; SQL; Java; Data Analysis; JavaScript; CSS; Machine Learning; Cloud Computing; Kubernetes,A Web Developer 3 is responsible for various tasks in the Tech field.
UI Designer 3,Design,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,Branding; Prototyping; InDesign; Adobe Photoshop; Illustrator; Figma; UI/UX; Sketch; Wireframing; Typography,A UI Designer 3 is responsible for various tasks in the Design field.
Cybersecurity Specialist 3,Tech,High,$110k-$150k,2025-08-08T22:10:16+05:00,React; CSS; Linux; Data Analysis; Kubernetes; HTML; SQL; Java; Node.js; Python,A Cybersecurity Specialist 3 is responsible for various tasks in the Tech field.
Graphic Designer 3,Design,High,$70k-$90k,2025-08-08T22:10:16+05:00,Adobe Photoshop; InDesign; Wireframing; UI/UX; Illustrator; Figma; Sketch; Prototyping; Typography; Branding,A Graphic Designer 3 is responsible for various tasks in the Design field.
Digital Marketer 3,Marketing,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Brand Strategy; PPC; Market Research; SEO; Google Analytics; Copywriting; Email Marketing; Content Marketing; Social Media,A Digital Marketer 3 is responsible for various tasks in the Marketing field.
SEO Specialist 3,Marketing,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Brand Strategy; Content Marketing; Market Research; Copywriting; Google Analytics; Social Media; PPC; Email Marketing; SEO,A SEO Specialist 3 is responsible for various tasks in the Marketing field.
Nurse 3,Healthcare,Low,$90k-$110k,2025-08-08T22:10:16+05:00,Healthcare IT; Diagnostics; Phlebotomy; Surgery Assistance; Pharmacology; First Aid; Patient Care; Medical Terminology,A Nurse 3 is responsible for various tasks in the Healthcare field.
Doctor 3,Healthcare,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Healthcare IT; Surgery Assistance; Patient Care; Diagnostics; Phlebotomy; First Aid; Pharmacology; Medical Terminology,A Doctor 3 is responsible for various tasks in the Healthcare field.
Teacher 3,Education,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Lesson Planning; Assessment Design; Educational Technology; Classroom Management; Public Speaking; Curriculum Development,A Teacher 3 is responsible for various tasks in the Education field.
Content Writer 3,Marketing,Low,$90k-$110k,2025-08-08T22:10:16+05:00,Brand Strategy; Market Research; Google Analytics; Email Marketing; SEO; Social Media; Content Marketing; PPC; Copywriting,A Content Writer 3 is responsible for various tasks in the Marketing field.
Mobile App Developer 3,Tech,Medium,$70k-$90k,2025-08-08T22:10:16+05:00,HTML; Docker; Java; Node.js; Cloud Computing; Linux; Python; React; TensorFlow; Kubernetes,A Mobile App Developer 3 is responsible for various tasks in the Tech field.
Cloud Engineer 3,Tech,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Docker; HTML; Linux; Kubernetes; PyTorch; SQL; Deep Learning; React; C++; Data Analysis,A Cloud Engineer 3 is responsible for various tasks in the Tech field.
Game Developer 3,Tech,Low,$70k-$90k,2025-08-08T22:10:16+05:00,PyTorch; CSS; React; TensorFlow; SQL; JavaScript; Python; C++; HTML; Kubernetes,A Game Developer 3 is responsible for various tasks in the Tech field.
Project Manager 3,Business,Low,$90k-$110k,2025-08-08T22:10:16+05:00,Project Management; Business Strategy; Leadership; Scrum; Agile; Budgeting; Risk Management; Negotiation,A Project Manager 3 is responsible for various tasks in the Business field.
Business Analyst 3,Business,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Project Management; Risk Management; Business Strategy; Scrum; Leadership; Negotiation; Budgeting; Agile,A Business Analyst 3 is responsible for various tasks in the Business field.
Data Analyst 3,Tech,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Cloud Computing; Node.js; Machine Learning; Linux; Python; Kubernetes; PyTorch; Java; C++; Data Analysis,A Data Analyst 3 is responsible for various tasks in the Tech field.
Mechanical Engineer 3,Engineering,High,$50k-$70k,2025-08-08T22:10:16+05:00,Problem Solving; Mathematics; CAD; Project Planning; 3D Modeling; Fluid Mechanics; Thermodynamics; Structural Analysis,A Mechanical Engineer 3 is responsible for various tasks in the Engineering field.
Civil Engineer 3,Engineering,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Structural Analysis; CAD; Thermodynamics; Project Planning; 3D Modeling; Problem Solving; Fluid Mechanics; Mathematics,A Civil Engineer 3 is responsible for various tasks in the Engineering field.
Data Scientist 4,Tech,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,Data Analysis; CSS; Deep Learning; Machine Learning; PyTorch; Python; Kubernetes; SQL; C++; JavaScript,A Data Scientist 4 is responsible for various tasks in the Tech field.
AI Engineer 4,Tech,High,$70k-$90k,2025-08-08T22:10:16+05:00,Kubernetes; Linux; Python; Deep Learning; Node.js; TensorFlow; JavaScript; Machine Learning; HTML; Data Analysis,A AI Engineer 4 is responsible for various tasks in the Tech field.
Web Developer 4,Tech,High,$90k-$110k,2025-08-08T22:10:16+05:00,Linux; JavaScript; Java; C++; Machine Learning; Kubernetes; PyTorch; React; Python; Data Analysis,A Web Developer 4 is responsible for various tasks in the Tech field.
UI Designer 4,Design,High,$70k-$90k,2025-08-08T22:10:16+05:00,Sketch; Illustrator; Typography; Branding; Figma; Wireframing; Adobe Photoshop; Prototyping; InDesign; UI/UX,A UI Designer 4 is responsible for various tasks in the Design field.
Cybersecurity Specialist 4,Tech,High,$90k-$110k,2025-08-08T22:10:16+05:00,CSS; Deep Learning; HTML; Node.js; Cloud Computing; Docker; Data Analysis; React; Java; C++,A Cybersecurity Specialist 4 is responsible for various tasks in the Tech field.
Graphic Designer 4,Design,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Branding; UI/UX; Wireframing; Typography; Adobe Photoshop; Sketch; Illustrator; Prototyping; InDesign; Figma,A Graphic Designer 4 is responsible for various tasks in the Design field.
Digital Marketer 4,Marketing,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Email Marketing; Social Media; Google Analytics; Copywriting; SEO; Content Marketing; Brand Strategy; Market Research; PPC,A Digital Marketer 4 is responsible for various tasks in the Marketing field.
SEO Specialist 4,Marketing,High,$110k-$150k,2025-08-08T22:10:16+05:00,Google Analytics; Market Research; PPC; Content Marketing; Copywriting; Brand Strategy; SEO; Email Marketing; Social Media,A SEO Specialist 4 is responsible for various tasks in the Marketing field.
Nurse 4,Healthcare,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Diagnostics; Phlebotomy; Healthcare IT; Surgery Assistance; Patient Care; Pharmacology; First Aid; Medical Terminology,A Nurse 4 is responsible for various tasks in the Healthcare field.
Doctor 4,Healthcare,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Diagnostics; Healthcare IT; Pharmacology; Surgery Assistance; First Aid; Patient Care; Medical Terminology; Phlebotomy,A Doctor 4 is responsible for various tasks in the Healthcare field.
Teacher 4,Education,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,Classroom Management; Lesson Planning; Curriculum Development; Assessment Design; Educational Technology; Public Speaking,A Teacher 4 is responsible for various tasks in the Education field.
Content Writer 4,Marketing,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,Copywriting; Brand Strategy; Social Media; Content Marketing; Google Analytics; Market Research; PPC; Email Marketing; SEO,A Content Writer 4 is responsible for various tasks in the Marketing field.
Mobile App Developer 4,Tech,High,$110k-$150k,2025-08-08T22:10:16+05:00,CSS; Data Analysis; Deep Learning; Java; SQL; PyTorch; C++; JavaScript; HTML; Docker,A Mobile App Developer 4 is responsible for various tasks in the Tech field.
Cloud Engineer 4,Tech,High,$90k-$110k,2025-08-08T22:10:16+05:00,Cloud Computing; Docker; JavaScript; Data Analysis; Python; Linux; HTML; React; Java; CSS,A Cloud Engineer 4 is responsible for various tasks in the Tech field.
Game Developer 4,Tech,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Linux; PyTorch; CSS; Kubernetes; Python; JavaScript; Java; Machine Learning; Node.js; React,A Game Developer 4 is responsible for various tasks in the Tech field.
Project Manager 4,Business,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Negotiation; Agile; Business Strategy; Risk Management; Project Management; Budgeting; Scrum; Leadership,A Project Manager 4 is responsible for various tasks in the Business field.
Business Analyst 4,Business,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Leadership; Agile; Scrum; Negotiation; Business Strategy; Budgeting; Project Management; Risk Management,A Business Analyst 4 is responsible for various tasks in the Business field.
Data Analyst 4,Tech,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Java; Python; CSS; Node.js; HTML; SQL; C++; Linux; Machine Learning; Kubernetes,A Data Analyst 4 is responsible for various tasks in the Tech field.
Mechanical Engineer 4,Engineering,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Thermodynamics; Mathematics; Project Planning; Problem Solving; Fluid Mechanics; CAD; Structural Analysis; 3D Modeling,A Mechanical Engineer 4 is responsible for various tasks in the Engineering field.
Civil Engineer 4,Engineering,Low,$90k-$110k,2025-08-08T22:10:16+05:00,3D Modeling; CAD; Structural Analysis; Problem Solving; Mathematics; Thermodynamics; Project Planning; Fluid Mechanics,A Civil Engineer 4 is responsible for various tasks in the Engineering field.
Data Scientist 5,Tech,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,React; Machine Learning; Deep Learning; TensorFlow; Data Analysis; JavaScript; CSS; SQL; Python; Kubernetes,A Data Scientist 5 is responsible for various tasks in the Tech field.
AI Engineer 5,Tech,High,$70k-$90k,2025-08-08T22:10:16+05:00,React; JavaScript; Machine Learning; Node.js; PyTorch; Kubernetes; SQL; Python; Cloud Computing; Docker,A AI Engineer 5 is responsible for various tasks in the Tech field.
Web Developer 5,Tech,Medium,$70k-$90k,2025-08-08T22:10:16+05:00,JavaScript; PyTorch; Docker; Linux; Kubernetes; Machine Learning; C++; Java; Python; Cloud Computing,A Web Developer 5 is responsible for various tasks in the Tech field.
UI Designer 5,Design,Low,$50k-$70k,2025-08-08T22:10:16+05:00,UI/UX; Illustrator; Wireframing; InDesign; Prototyping; Branding; Sketch; Figma; Adobe Photoshop; Typography,A UI Designer 5 is responsible for various tasks in the Design field.
Cybersecurity Specialist 5,Tech,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Linux; TensorFlow; Node.js; HTML; Deep Learning; Machine Learning; Python; C++; Docker; Java,A Cybersecurity Specialist 5 is responsible for various tasks in the Tech field.
Graphic Designer 5,Design,Low,$90k-$110k,2025-08-08T22:10:16+05:00,Sketch; UI/UX; Illustrator; Branding; Wireframing; Figma; Adobe Photoshop; InDesign; Typography; Prototyping,A Graphic Designer 5 is responsible for various tasks in the Design field.
Digital Marketer 5,Marketing,High,$50k-$70k,2025-08-08T22:10:16+05:00,Content Marketing; Google Analytics; SEO; Copywriting; Market Research; Social Media; PPC; Brand Strategy; Email Marketing,A Digital Marketer 5 is responsible for various tasks in the Marketing field.
SEO Specialist 5,Marketing,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Copywriting; Email Marketing; Google Analytics; PPC; Content Marketing; Brand Strategy; SEO; Social Media; Market Research,A SEO Specialist 5 is responsible for various tasks in the Marketing field.
Nurse 5,Healthcare,High,$110k-$150k,2025-08-08T22:10:16+05:00,Medical Terminology; First Aid; Diagnostics; Healthcare IT; Pharmacology; Patient Care; Surgery Assistance; Phlebotomy,A Nurse 5 is responsible for various tasks in the Healthcare field.
Doctor 5,Healthcare,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Phlebotomy; Patient Care; Medical Terminology; Healthcare IT; First Aid; Pharmacology; Diagnostics; Surgery Assistance,A Doctor 5 is responsible for various tasks in the Healthcare field.
Teacher 5,Education,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Educational Technology; Curriculum Development; Lesson Planning; Public Speaking; Assessment Design; Classroom Management,A Teacher 5 is responsible for various tasks in the Education field.
Content Writer 5,Marketing,High,$110k-$150k,2025-08-08T22:10:16+05:00,Content Marketing; SEO; Market Research; Google Analytics; Email Marketing; Brand Strategy; PPC; Copywriting; Social Media,A Content Writer 5 is responsible for various tasks in the Marketing field.
Mobile App Developer 5,Tech,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Java; HTML; Data Analysis; Kubernetes; Cloud Computing; Python; Node.js; Docker; CSS; C++,A Mobile App Developer 5 is responsible for various tasks in the Tech field.
Cloud Engineer 5,Tech,High,$90k-$110k,2025-08-08T22:10:16+05:00,Machine Learning; Deep Learning; TensorFlow; React; HTML; C++; SQL; Java; PyTorch; Cloud Computing,A Cloud Engineer 5 is responsible for various tasks in the Tech field.
Game Developer 5,Tech,High,$50k-$70k,2025-08-08T22:10:16+05:00,C++; Linux; Data Analysis; Kubernetes; HTML; JavaScript; PyTorch; TensorFlow; Python; Machine Learning,A Game Developer 5 is responsible for various tasks in the Tech field.
Project Manager 5,Business,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Business Strategy; Risk Management; Budgeting; Leadership; Scrum; Negotiation; Agile; Project Management,A Project Manager 5 is responsible for various tasks in the Business field.
Business Analyst 5,Business,High,$110k-$150k,2025-08-08T22:10:16+05:00,Negotiation; Risk Management; Budgeting; Agile; Project Management; Business Strategy; Scrum; Leadership,A Business Analyst 5 is responsible for various tasks in the Business field.
Data Analyst 5,Tech,Medium,$70k-$90k,2025-08-08T22:10:16+05:00,Python; Machine Learning; TensorFlow; CSS; Kubernetes; Linux; Cloud Computing; PyTorch; React; HTML,A Data Analyst 5 is responsible for various tasks in the Tech field.
Mechanical Engineer 5,Engineering,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Thermodynamics; 3D Modeling; Problem Solving; Structural Analysis; Project Planning; CAD; Fluid Mechanics; Mathematics,A Mechanical Engineer 5 is responsible for various tasks in the Engineering field.
Civil Engineer 5,Engineering,High,$70k-$90k,2025-08-08T22:10:16+05:00,Mathematics; Structural Analysis; Problem Solving; CAD; 3D Modeling; Fluid Mechanics; Thermodynamics; Project Planning,A Civil Engineer 5 is responsible for various tasks in the Engineering field.
